!   mu    Theta      P11          P12          P33          P34
 -0.0445  92.55      0.03049     -0.00382      0.00537      0.00232
 -0.0494  92.83      0.03024     -0.00394      0.00504      0.00228
 -0.0544  93.12      0.02995     -0.00401      0.00478      0.00228
 -0.0593  93.40      0.02958     -0.00402      0.00459      0.00231
 -0.0642  93.68      0.02919     -0.00398      0.00442      0.00231
 -0.0692  93.97      0.02883     -0.00390      0.00423      0.00229
 -0.0741  94.25      0.02856     -0.00383      0.00400      0.00226
 -0.0790  94.53      0.02836     -0.00381      0.00371      0.00225
 -0.0839  94.82      0.02818     -0.00387      0.00336      0.00228
 -0.0889  95.10      0.02796     -0.00397      0.00300      0.00236
 -0.0938  95.38      0.02770     -0.00409      0.00267      0.00247
 -0.0987  95.66      0.02742     -0.00417      0.00243      0.00257
 -0.1036  95.95      0.02714     -0.00425      0.00228      0.00265
 -0.1085  96.23      0.02691     -0.00432      0.00219      0.00268
 -0.1135  96.51      0.02674     -0.00438      0.00210      0.00267
 -0.1184  96.80      0.02664     -0.00441      0.00196      0.00263
 -0.1233  97.08      0.02658     -0.00439      0.00176      0.00258
 -0.1282  97.36      0.02650     -0.00432      0.00153      0.00256
 -0.1331  97.65      0.02636     -0.00424      0.00128      0.00257
 -0.1380  97.93      0.02613     -0.00418      0.00105      0.00263
 -0.1429  98.21      0.02585     -0.00418      0.00083      0.00272
 -0.1478  98.50      0.02556     -0.00422      0.00064      0.00281
 -0.1526  98.78      0.02535     -0.00428      0.00050      0.00287
 -0.1575  99.06      0.02523     -0.00433      0.00039      0.00291
 -0.1624  99.35      0.02521     -0.00434      0.00030      0.00294
 -0.1673  99.63      0.02521     -0.00434      0.00022      0.00299
 -0.1722  99.91      0.02518     -0.00434      0.00012      0.00304
 -0.1770 100.20      0.02510     -0.00436      0.00001      0.00307
 -0.1819 100.48      0.02498     -0.00439     -0.00011      0.00307
 -0.1867 100.76      0.02486     -0.00441     -0.00023      0.00305
 -0.1916 101.05      0.02477     -0.00442     -0.00035      0.00306
 -0.1965 101.33      0.02471     -0.00441     -0.00048      0.00312
 -0.2013 101.61      0.02467     -0.00440     -0.00062      0.00322
 -0.2061 101.90      0.02460     -0.00439     -0.00075      0.00332
 -0.2110 102.18      0.02450     -0.00439     -0.00085      0.00341
 -0.2158 102.46      0.02439     -0.00438     -0.00093      0.00350
 -0.2206 102.75      0.02432     -0.00435     -0.00100      0.00359
 -0.2254 103.03      0.02429     -0.00433     -0.00107      0.00370
 -0.2303 103.31      0.02432     -0.00431     -0.00117      0.00381
 -0.2351 103.60      0.02434     -0.00429     -0.00128      0.00389
 -0.2399 103.88      0.02433     -0.00428     -0.00139      0.00392
 -0.2447 104.16      0.02427     -0.00424     -0.00149      0.00389
 -0.2495 104.45      0.02419     -0.00417     -0.00161      0.00383
 -0.2542 104.73      0.02410     -0.00407     -0.00174      0.00377
 -0.2590 105.01      0.02404     -0.00399     -0.00189      0.00375
 -0.2638 105.30      0.02402     -0.00392     -0.00204      0.00379
 -0.2686 105.58      0.02402     -0.00386     -0.00215      0.00390
 -0.2733 105.86      0.02401     -0.00378     -0.00219      0.00402
 -0.2781 106.14      0.02397     -0.00367     -0.00215      0.00409
 -0.2828 106.43      0.02388     -0.00355     -0.00206      0.00406
 -0.2875 106.71      0.02378     -0.00346     -0.00196      0.00395
 -0.2923 106.99      0.02370     -0.00342     -0.00190      0.00378
 -0.2970 107.28      0.02368     -0.00341     -0.00189      0.00364
 -0.3017 107.56      0.02373     -0.00343     -0.00194      0.00357
 -0.3064 107.84      0.02381     -0.00343     -0.00201      0.00355
 -0.3111 108.13      0.02392     -0.00342     -0.00203      0.00357
 -0.3158 108.41      0.02404     -0.00340     -0.00199      0.00359
 -0.3205 108.69      0.02415     -0.00341     -0.00190      0.00359
 -0.3252 108.98      0.02425     -0.00345     -0.00179      0.00357
 -0.3299 109.26      0.02432     -0.00349     -0.00168      0.00353
 -0.3345 109.54      0.02439     -0.00352     -0.00157      0.00348
 -0.3392 109.83      0.02446     -0.00351     -0.00144      0.00342
 -0.3438 110.11      0.02456     -0.00347     -0.00127      0.00336
 -0.3485 110.39      0.02470     -0.00344     -0.00107      0.00333
 -0.3531 110.68      0.02487     -0.00345     -0.00084      0.00332
 -0.3577 110.96      0.02509     -0.00352     -0.00060      0.00332
 -0.3623 111.24      0.02536     -0.00363     -0.00034      0.00330
 -0.3669 111.53      0.02566     -0.00378     -0.00008      0.00324
 -0.3715 111.81      0.02596     -0.00397      0.00019      0.00316
 -0.3761 112.09      0.02627     -0.00419      0.00048      0.00305
 -0.3807 112.38      0.02659     -0.00446      0.00080      0.00295
 -0.3853 112.66      0.02699     -0.00476      0.00117      0.00290
 -0.3898 112.94      0.02746     -0.00509      0.00160      0.00290
 -0.3944 113.23      0.02797     -0.00542      0.00204      0.00295
